ENSG00000004059	0.001710	0.000019	0.272088	0.000093	0.000090
ENSG00000072818	0.000253	0.000001	0.242771	0.000001	0.000021
ENSG00000111737	0.001456	0.000026	0.269686	0.000162	0.000089
ENSG00000165527	0.004623	0.000117	0.309841	0.001722	0.000233
ENSG00000143761	0.006079	0.000077	0.301760	0.001826	0.000261
ENSG00000122218	0.002026	0.000025	0.267843	0.000229	0.000094
ENSG00000086827	0.002280	0.000043	0.270633	0.000350	0.000079
ENSG00000120526	0.000507	0.000128	0.253414	0.000147	0.000033
ENSG00000129083	0.003103	0.000029	0.267697	0.000244	0.000134
ENSG00000242247	0.000823	0.000011	0.242868	0.000000	0.000043
ENSG00000095139	0.002026	0.000019	0.261700	0.000080	0.000092
ENSG00000113384	0.002786	0.000031	0.286513	0.000621	0.000120
ENSG00000142186	0.000887	0.000013	0.242097	0.000012	0.000048
ENSG00000162236	0.006142	0.000346	0.284735	0.001127	0.000235
ENSG00000166557	0.001076	0.000012	0.235470	0.000013	0.000058
ENSG00000167183	0.000253	0.000004	0.222047	0.000000	0.000019
ENSG00000170348	0.002913	0.000327	0.267348	0.000881	0.000149
ENSG00000181744	0.001140	0.000014	0.240398	0.000277	0.000079
ENSG00000181789	0.001646	0.000611	0.265577	0.000122	0.000073
ENSG00000184432	0.002723	0.000635	0.280328	0.000632	0.000116
ENSG00000105438	0.001393	0.000019	0.253154	0.000145	0.000072
ENSG00000107862	0.001076	0.000009	0.251782	0.000012	0.000052
ENSG00000101188	0.001710	0.000122	0.287808	0.000322	0.000074
ENSG00000148248	0.001266	0.000341	0.262583	0.000162	0.000059
ENSG00000172062	0.003166	0.000670	0.300880	0.000327	0.000085
ENSG00000138674	0.002660	0.000303	0.294210	0.000456	0.000103
ENSG00000073969	0.004116	0.000016	0.271433	0.000380	0.000157
ENSG00000158623	0.001456	0.000409	0.265505	0.000143	0.000073
ENSG00000134970	0.001836	0.000020	0.251349	0.000054	0.000082
ENSG00000213265	0.000253	0.000006	0.226396	0.000000	0.000019
ENSG00000149182	0.000950	0.000011	0.243077	0.000010	0.000050
ENSG00000111481	0.001456	0.000013	0.247303	0.000017	0.000071
ENSG00000105669	0.001710	0.000018	0.253207	0.000045	0.000079
ENSG00000141367	0.006966	0.000259	0.318992	0.002090	0.000257
ENSG00000005243	0.000760	0.000010	0.228870	0.000000	0.000042
